MESSAGE_ID,MESSAGE_LOCATION,USER_LOCATION
"tag:search.twitter.com,2005:774453102787321856",,POINT (80.9231301 26.8392800)
"tag:search.twitter.com,2005:771594636359905281",,POINT (103.8000001 1.3666701)
"tag:search.twitter.com,2005:770187356380893184",,POINT (77.5936901 12.9719401)
"tag:search.twitter.com,2005:769927477707677696",,POINT (140.0007500 35.7767399)
"tag:search.twitter.com,2005:773472683380056068",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:771601409326272513",,POINT (76.4026599 30.3271501)
"tag:search.twitter.com,2005:772086338820591616",,POINT (77.4028899 23.2546900)
"tag:search.twitter.com,2005:609295801504772096",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771243274916859904",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771598322767237121",,POINT (77.5936901 12.9719401)
"tag:search.twitter.com,2005:715770133726281728",,POINT (73.0158200 19.0368100)
"tag:search.twitter.com,2005:772095986562838530",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:766685800813780992",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:773148962819805188",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:774804498220916738",,POINT (78.4563600 17.3840499)
"tag:search.twitter.com,2005:763642448627150848",,POINT (103.8000001 1.3666701)
"tag:search.twitter.com,2005:771295715888926720",,POINT (88.0000000 24.0000000)
"tag:search.twitter.com,2005:769467147810643968",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:771381436548997121",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:772753072942481409",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:766684697292312577",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:772348893883498496",,POINT (13.4166700 52.5000000)
"tag:search.twitter.com,2005:681388126120509440",,POINT (77.0000000 20.0000000)
"tag:search.twitter.com,2005:681820627251011584",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:771990953234227200",,POINT (72.8826099 19.0728300)
"tag:search.twitter.com,2005:694035465154920448",,POINT (77.2244499 28.6357600)
"tag:search.twitter.com,2005:773486682700025856",,POINT (77.4028899 23.2546900)
